Latitude,Longitude,Density Class,x,y
30.3056,-89.3284,1,-9943992.00137786,3542892.66860295
30.3063,-89.3277,3,-9943914.0777343,3542982.92662302
29.6521,-95.0096,3,-10576420.2924726,3458908.47160911
29.7614,-95.0798,3,-10584234.9207263,3472916.76043311
30.2396,-87.8954,2,-9784471.17107109,3534385.5187283
30.2489,-88.1923,2,-9817521.92788762,3535583.90740112
30.3787,-87.8526,0,-9779706.69686514,3552321.66966945
14.1,-60.78,0,-6765998.65041516,1585691.78939141
16.51,-69.6,1,-7747836.55921184,1863859.90758794
17.85,-77.68,0,-8647298.04482149,2019998.75199942
16.23,-86.26,0,-9602419.27582778,1831373.46800541
12.58,-62.77,0,-6987524.43709378,1411788.38693855
13.7,-63.73,0,-7094391.14825532,1539820.62240794
15.75,-62.5,0,-6957468.17457959,1775789.37003129
27.8512,-97.3543,0,-10837431.1025356,3230226.43383952
27.5615,-97.2308,2,-10823683.1454226,3193800.61642005
29.2346,-94.8833,2,-10562360.6407854,3405539.37816637
29.2674,-94.8233,2,-10555681.4713378,3409724.28564928
29.3043,-94.7683,2,-10549558.8993442,3414433.91179493
29.3052,-94.7681,2,-10549536.635446,3414548.80198368
26.0983,-97.1622,2,-10816046.6283542,3011260.92202388
27.9814,-96.938,2,-10791088.7985184,3246628.95751737
27.9566,-96.9611,3,-10793660.2787557,3243503.14365455
30.3059,-89.3282,2,-9943969.7374797,3542931.35053263
30.3068,-89.3273,2,-9943869.54993798,3543047.39703196
30.3062,-89.328,1,-9943947.47358154,3542970.03258069
30.3063,-89.3276,2,-9943902.94578522,3542982.92662302
29.9397,-89.9939,4,-10018075.1225008,3495801.19320424
29.6423,-89.9395,2,-10012019.3422016,3457653.21166528
29.6829,-85.3092,0,-9496576.70398153,3462854.37032861
30.2785,-87.7554,1,-9768886.44236003,3539398.88908037
30.7344,-88.0403,2,-9800601.36528704,3598303.75314747
16.305,-61.7983,2,-6879355.28788996,1840070.62700718
12.25,-61.77,0,-6876204.94630051,1374173.30933123
18.74,-77.39,0,-8615015.39249144,2124348.91329087
15.57,-78.98,0,-8792013.38285274,1754979.3947474
17.27,-80.3,0,-8938955.11069986,1952277.40526967
16.63,-84.97,0,-9458817.13270445,1877797.02975992
15.37,-62.1,2,-6912940.37826229,1731878.54548634
16.08,-62.2,2,-6924072.32734161,1813989.07265529
24.88,-82.97,1,-9236178.1511179,2861012.51017369
29.2762,-94.8086,2,-10554045.0748232,3410847.29407989
29.3045,-94.768,2,-10549525.5034969,3414459.44286045
29.4272,-94.6776,2,-10539462.2215292,3430132.19998416
29.1751,-90.0748,2,-10027080.869306,3397951.27409073
28.1107,-96.7914,3,-10774769.3611681,3262937.70950245
27.6424,-97.1878,3,-10818896.4073185,3203962.96333017
29.2274,-94.8948,3,-10563640.8149295,3404620.91945529
29.2852,-94.7931,2,-10552319.6227159,3411995.92545356
30.429,-87.9111,1,-9786218.88707655,3558813.84672909
30.3077,-89.3264,2,-9943769.36239627,3543163.44459678
15.38,-61.58,1,-6855054.24304978,1733033.05907111
14.1167,-60.9167,0,-6781216.0248066,1587608.6439337
12.34,-60.03,0,-6682509.03232021,1384427.24729958
18.7167,-64.2833,1,-7155984.22251124,2121610.15610966
16.86,-85.95,2,-9567910.23368186,1904534.28600283
10.89,-65.43,1,-7283634.28260388,1219634.78865328
12.0,-61.93,0,-6894016.06482743,1345708.40840911
15.28,-67.42,0,-7505160.0692825,1721490.41081447
29.2808,-94.801,2,-10553199.0466931,3411434.35969742
29.2791,-94.8035,2,-10553477.3454201,3411217.39758633
29.2681,-94.8222,2,-10555559.0198979,3409813.61232619
29.3043,-94.768,2,-10549525.5034969,3414433.91179493
29.3817,-94.723,3,-10544516.1264112,3424318.1751475
26.0973,-97.162,3,-10816024.364456,3011136.96436386
27.7904,-97.086,2,-10807564.0831558,3222573.63338537
26.9359,-97.3739,3,-10839612.9645551,3115465.58117839
30.445,-84.1861,3,-9371553.7838716,3560879.65434122
30.3079,-89.3263,2,-9943758.23044719,3543189.23308922
29.2374,-89.9825,2,-10016806.0803057,3405896.57399818
25.58,-82.73,0,-9209461.47332752,2947154.45093831
15.9,-64.55,0,-7185673.1307058,1793145.09690103
15.9,-62.75,2,-6985298.04727791,1793145.09690103
13.02,-71.22,2,-7928174.13429694,1462017.31701555
27.7936,-97.0839,2,-10807330.3122251,3222976.30556813
29.1959,-94.9476,2,-10569518.4840434,3400603.42153766
29.1172,-95.0741,0,-10583600.3996288,3390571.44239996
29.3897,-94.8855,4,-10562605.5436652,3425340.23278777
29.2377,-94.8843,2,-10562471.9602762,3405934.84555966
29.2759,-94.809,2,-10554089.6026195,3410809.00810968
19.0938,-96.0977,2,-10697547.0304048,2165982.46384721
26.1065,-97.1635,2,-10816191.3436922,3012277.41481671
